EAN,product,retail,cost,margin
563801,iPhone,700,231,469
556332,Lightning Charging Cable,14.95,7.48,7.48
211397,Wired Headphones,11.99,6,6
306916,27in FHD Monitor,149.99,97.49350000000001,52.5
295387,AAA Batteries (4-pack),2.99,1.5,1.5
517367,27in 4K Gaming Monitor,389.99,128.69670000000002,261.29
805174,USB-C Charging Cable,11.95,5.98,5.98
150842,Bose SoundSport Headphones,99.99,50,50
138634,Apple Airpods Headphones,150,97.5,52.5
116938,Macbook Pro Laptop,1700,561,1139
406276,Flatscreen TV,300,99,201
672178,Vareebadd Phone,400,132,268
674150,AA Batteries (4-pack),3.84,1.92,1.92
369346,Google Phone,600,198,402
133478,20in Monitor,109.99,71.49,38.5
813115,34in Ultrawide Monitor,379.99,125.39670000000001,254.59
333544,ThinkPad Laptop,999.99,329.99670000000003,669.99
369325,LG Dryer,600,198,402
106831,LG Washing Machine,600,198,402
